Layer,Expert_ID,Total_Activations,Shapley_Value
2,101,9,0.27113459399332596
2,61,7,0.22015202076381168
2,5,5,0.18539117538005195
2,32,3,0.10428253615127922
2,96,0,0.0
2,66,1,0.0
2,43,1,0.0
2,1,0,0.0
2,34,0,0.0
2,91,0,0.0
2,79,0,0.0
2,35,0,0.0
2,102,2,0.0
2,98,1,0.0
2,110,0,0.0
2,114,0,0.0
2,105,0,0.0
2,13,0,0.0
2,19,0,0.0
2,26,0,0.0
2,28,0,0.0
3,22,7262,481.72413793099764
3,69,3398,228.9349276974469
3,84,3051,199.186265162349
3,16,2078,136.34941601780093
3,24,1988,126.09095576281234
3,123,1750,115.79764553207096
3,4,1665,109.30258157211874
3,76,1564,103.93261030774788
3,71,1574,101.71685470628695
3,89,1659,101.50532755693622
3,77,1461,93.69206525769225
3,121,1435,91.54847979236247
3,37,1357,90.6295456490133
3,31,1347,90.16036336670325
3,117,1372,89.3307378568778
3,82,1313,87.97870649928493
3,6,1349,85.6449295513527
3,26,1218,81.38672599184264
3,62,1183,75.0188701732091
3,70,1105,73.49369670003728
3,78,1127,70.18214682981147
3,73,1090,67.41707958337511
3,29,987,62.104595383759126
3,47,913,60.388857990360094
3,90,888,56.608036707452115
3,67,848,56.52731429983884
3,40,916,56.20133481646324
3,115,836,55.02859079532799
3,1,969,54.72515758249876
3,41,856,54.05160323064259
3,10,868,53.78450803923552
3,66,811,53.288375973303935
3,11,860,52.887046212963874
3,94,756,48.97171099201137
3,124,750,47.98618835743444
3,106,786,46.201025831169936
3,2,702,46.08440272389361
3,112,696,46.02567667779041
3,103,626,41.73262314252293
3,64,713,41.37533767678379
3,25,658,41.36540600667456
3,36,610,40.21914593450724
3,13,612,39.812754912865955
3,93,614,39.57770538693772
3,107,596,39.32290667791803
3,108,595,39.18242491657403
3,122,639,38.824704216806566
3,101,578,37.93210404723191
3,3,606,37.19873934000733
3,92,591,36.00528364849849
3,97,575,35.94271412680742
3,80,538,35.921085156346344
3,118,563,35.08527994067501
3,51,547,34.95677014864984
3,34,544,34.28346310715603
3,113,543,33.85706340378221
3,120,525,33.842427258357134
3,119,498,33.20506268225935
3,99,489,32.280107979055344
3,7,512,32.275444938821195
3,39,497,32.144634389087216
3,87,479,32.09729560622903
3,105,518,31.21523915461638
3,50,503,30.766022075810653
3,75,469,29.704301075268738
3,27,454,29.40767519466062
3,0,474,29.106414534668318
3,53,441,28.80370550611782
3,5,428,28.553806223439064
3,61,483,28.517797552836587
3,127,401,26.135520949202714
3,114,373,24.263070077864313
3,32,360,23.3990147783252
3,38,346,22.768353726362644
3,74,374,22.739386355209568
3,91,351,21.680835849356534
3,12,358,21.45060167863285
3,59,331,21.00327524409839
3,109,313,19.247576672493327
3,56,307,19.070334559767293
3,72,293,18.88359438415056
3,79,274,18.597824743542176
3,21,271,16.656238413051508
3,60,237,15.675311749897544
3,104,226,14.882276603633617
3,23,216,13.636183060543454
3,125,212,13.013196480938433
3,46,203,12.887583426028932
3,49,197,12.067806822395243
3,81,213,11.019187986651799
3,42,181,10.725300839316423
3,57,130,8.571445124212078
3,86,123,8.159472584714713
3,35,126,8.021478891890471
3,98,125,6.89588961279728
3,17,103,6.6675646551724235
3,18,104,5.889480375019861
3,100,91,5.6225667408231415
3,19,93,5.568687430478313
3,111,91,5.549094953989282
3,28,92,5.240197441601778
3,68,68,4.4444223740664235
3,126,80,4.356692621431222
3,20,63,4.028947507812912
3,55,82,3.945355951056734
3,14,52,3.324681745148932
3,116,47,2.9865359658880224
3,30,46,2.8364849833147967
3,54,49,2.7682273232885044
3,45,53,2.6835372636262513
3,15,51,2.2015202076381173
3,110,33,1.9795386686962129
3,9,31,1.7612161661104933
3,83,36,1.5758249907304414
3,48,26,1.0254449388209121
3,52,24,0.7994994438264743
3,43,21,0.7879124953652208
3,33,13,0.7230255839822025
3,65,5,0.11918004131574768
3,58,0,0.0
3,88,2,0.0
3,85,27,0.0
3,96,0,0.0
3,63,0,0.0
3,8,0,0.0
3,44,0,0.0
3,102,1,0.0
3,95,1,0.0
4,80,7317,487.72103103065893
4,6,3439,229.77877718538372
4,14,3398,229.1906682027685
4,5,2396,151.5225250278072
4,93,2208,147.7555470991178
4,124,2120,143.7261639917387
4,9,1795,114.21506988441499
4,88,1563,102.14697241949924
4,81,1501,100.88957537360466
4,27,1511,97.7565652657561
4,50,1426,91.78650881932306
4,0,1577,91.24225329731595
4,116,1376,90.07230255839823
4,104,1368,89.86671698712942
4,86,1319,87.88029584528662
4,52,1316,87.05419215795247
4,85,1502,85.7434186132757
4,106,1374,84.49446753703046
4,115,1229,80.85650723025694
4,30,1180,79.64702844430387
4,118,1185,77.77605459056987
4,87,1146,74.21756497118055
4,76,1148,74.11343291487866
4,122,1110,73.8173994496813
4,29,1077,71.43694518964419
4,60,1051,69.59410919540252
4,79,1059,69.12571939836545
4,83,997,66.96301991319336
4,10,964,64.5917491169531
4,22,1018,64.39098998887692
4,18,974,64.3200778642944
4,43,1013,64.10893055776232
4,89,962,63.3634593993332
4,23,942,61.67108753315596
4,58,925,61.48135609614587
4,111,917,60.39479630144534
4,77,888,58.175271374324645
4,1,882,57.676518883415305
4,107,874,57.226084538376405
4,39,804,53.52706711160605
4,91,875,53.3308614509942
4,53,794,51.5701970443346
4,25,780,51.53954585554884
4,56,777,50.86775710385289
4,82,830,50.86412886746559
4,64,690,46.02638197030548
4,65,678,44.709765236227426
4,47,706,44.00723025583961
4,102,646,43.18826473859892
4,63,672,43.16762214426313
4,74,649,42.33870967741915
4,127,645,42.098406441940526
4,105,625,39.788527656992486
4,15,547,35.78762727817223
4,99,481,31.904248768473018
4,33,410,26.709931324660378
4,45,403,25.98599893601575
4,51,365,23.35494299221352
4,13,344,22.55544354838702
4,119,355,22.094655437258307
4,40,336,21.873639793006767
4,95,317,20.90864849833144
4,48,313,20.161290322580665
4,100,297,19.41310450765404
4,32,293,19.41154659861725
4,68,305,19.306752873563187
4,75,299,18.850309868107445
4,19,266,16.49402113459403
4,121,252,15.758249907304426
4,4,248,15.726385799036024
4,34,233,15.372472682065066
4,73,245,15.29042686318133
4,103,226,15.125139043381525
4,11,223,14.30359129191168
4,2,220,13.716220637309426
4,101,210,13.41646663934588
4,109,207,12.9417301274921
4,26,182,11.840263127613067
4,97,179,11.52861416900006
4,12,171,11.09294880490515
4,110,176,11.084175654108426
4,38,147,9.370792108190402
4,17,129,8.252804041527622
4,7,133,7.925472747497223
4,113,121,7.77444286755398
4,44,123,7.566691164786273
4,114,114,7.455896415120119
4,96,114,6.957516899118677
4,112,112,6.743604004449378
4,123,95,6.195609500752472
4,61,116,6.0715609936967
4,59,79,4.852916283793584
4,46,70,4.440697997775307
4,108,69,4.1338666894840435
4,16,70,4.095459601577514
4,92,57,3.3530846239411307
4,70,53,3.2794374702049893
4,57,46,2.6939655172413786
4,20,34,1.916812331161608
4,126,30,1.6105858361142011
4,98,25,1.5894566948025042
4,37,22,1.3161175252195931
4,55,26,1.1540600667408234
4,8,26,1.0924837120610202
4,120,18,0.8690211345939937
4,28,3,0.11123470522803117
4,72,4,0.10428253615127922
4,62,0,0.0
4,66,0,0.0
4,36,0,0.0
4,41,0,0.0
4,78,3,0.0
4,67,1,0.0
4,31,9,0.0
4,84,25,0.0
4,42,1,0.0
4,3,0,0.0
4,21,0,0.0
4,24,0,0.0
4,54,8,0.0
4,90,1,0.0
4,71,25,0.0
4,69,0,0.0
4,94,0,0.0
4,117,0,0.0
4,125,0,0.0
4,49,2,0.0
4,35,0,0.0
5,120,8007,535.9584125731468
5,19,4310,290.50428506421366
5,32,2744,176.7206618464981
5,113,2524,165.39210233593
5,16,2458,164.024076338258
5,21,2332,158.2646926336842
5,115,2185,144.74416017797742
5,65,2007,128.6622232588162
5,68,1911,124.59942263891043
5,0,1688,106.65231900179069
5,42,1288,85.99181382091079
5,125,1357,83.60931337849969
5,90,1231,83.16737368643058
5,62,1282,83.07842046718572
5,61,1231,82.44403503893103
5,80,1215,80.24471635150306
5,102,1252,80.21644419725628
5,95,1195,79.40535780496788
5,48,1137,76.97484604887393
5,66,1228,75.17612161661019
5,117,1076,73.17754856686965
5,51,1153,72.91434927697426
5,33,1108,72.36905740678085
5,96,1049,69.59499081104617
5,58,996,66.82800113000363
5,73,972,66.11059389660004
5,87,998,64.69862347052313
5,111,998,64.02947719688568
5,13,961,63.9710157751033
5,76,965,62.238466020445735
5,46,976,61.604118212154745
5,82,1002,61.373748609566775
5,7,957,61.27502004088962
5,126,955,61.17176980270435
5,105,923,58.32335073158168
5,37,869,57.216351501668704
5,47,899,57.20708194289976
5,122,831,56.990697298674796
5,25,858,54.86651835372664
5,107,843,53.5813602415387
5,24,766,51.47650281763953
5,17,713,47.736864489956375
5,34,747,47.54820170559897
5,8,756,47.21749656481072
5,54,636,43.59269098169817
5,78,679,40.75361512792017
5,108,598,40.68882377899821
5,71,579,38.38926421514105
5,1,561,36.57492700222464
5,63,541,35.81573649325688
5,10,542,35.62071892746316
5,45,551,34.62952663453228
5,94,473,32.22136051789771
5,118,462,31.499371282100874
5,53,466,30.783745024315216
5,64,467,29.747261914948357
5,97,454,29.181233116160925
5,9,454,28.935407157377927
5,30,461,28.832962550982387
5,4,428,28.391022704966243
5,56,379,25.85000321753265
5,103,417,25.79254727474975
5,2,384,25.658718020022167
5,75,355,24.126154911352693
5,100,358,23.95261976909205
5,114,355,23.387956836347392
5,49,299,19.81239443002521
5,74,305,19.425824014987434
5,43,219,14.713038997578987
5,60,201,13.778680936029682
5,77,210,13.722257534827026
5,93,209,13.365545050055623
5,70,200,12.727104189840595
5,91,193,12.07847901176747
5,59,179,10.695363269129455
5,84,146,9.743911608801834
5,39,158,9.433558654915718
5,109,151,8.79181997090785
5,52,139,8.663253955642318
5,11,125,7.796361036071823
5,79,115,7.721956736535327
5,22,119,7.258064516129045
5,20,111,7.190667099246082
5,112,143,6.902510726203697
5,101,102,6.570792944541565
5,116,100,6.401242470669711
5,72,97,6.310583187668843
5,67,89,5.463387503730432
5,123,89,4.959213941416387
5,18,64,4.207854087588728
5,89,88,4.2060622914349315
5,41,58,3.5571931776047485
5,81,54,3.3370411568409337
5,3,77,3.290693362995927
5,31,50,3.1251655278351604
5,36,49,2.887467556544311
5,5,47,2.836484983314793
5,106,47,2.7615560499320244
5,86,48,2.6742677048572507
5,88,43,2.4928491975210556
5,38,54,2.294215795328143
5,99,39,2.237334411972901
5,104,33,2.0624768261030773
5,55,33,1.598998887652948
5,110,45,1.5016685205784206
5,12,26,1.3588330468196992
5,85,19,0.9931670109645643
5,29,9,0.5045288415699984
5,35,8,0.4310344827586207
5,83,7,0.399749721913237
5,40,8,0.3435189426159786
